1052 3
0 1 2
2 1 3
4 1 5
6 7 8
3 1 4
9 10 11
12 4 5
13 14 15
16 17 18
8 19 6
16 20 17
20 21 17
16 18 22
23 14 13
11 16 22
13 15 24
20 6 21
22 18 25
11 10 16
6 26 21
26 3 21
27 5 28
12 5 27
29 8 30
28 31 32
33 12 27
28 5 31
24 34 35
26 36 2
8 7 30
26 2 3
37 38 39
40 41 42
30 7 40
21 4 17
9 43 10
15 34 24
29 44 8
40 7 41
45 46 33
33 46 12
32 47 48
16 10 20
38 44 39
39 44 29
31 47 32
31 0 47
3 4 21
47 0 14
14 49 15
17 50 18
51 52 23
25 53 54
6 19 26
55 43 9
35 56 57
38 58 44
31 1 0
48 52 51
44 58 36
0 49 14
54 53 45
42 43 55
57 56 37
10 43 41
41 59 10
10 59 20
34 56 35
38 56 34
18 50 46
44 19 8
15 60 34
18 53 25
23 52 14
36 19 44
36 60 2
2 49 0
20 59 6
4 50 17
5 1 31
6 59 7
46 53 18
26 19 36
34 58 38
7 59 41
12 50 4
14 52 47
37 56 38
41 43 42
47 52 48
45 53 46
46 50 12
60 58 34
15 49 60
60 49 2
36 58 60
55 61 42
61 62 42
39 63 64
65 66 67
30 66 29
68 69 70
68 71 69
67 66 30
30 71 67
70 62 72
42 62 69
65 63 29
42 69 40
67 71 68
72 62 61
69 71 40
40 71 30
29 66 65
69 62 70
29 63 39
64 63 65
57 37 73
64 37 39
73 37 64
74 75 76
77 78 79
80 81 78
75 82 76
83 530 85
531 83 85
74 528 88
78 81 79
81 80 89
75 74 88
87 83 529
74 90 528
530 535 85
82 92 93
94 77 79
55 9 95
94 96 97
98 80 78
82 93 76
55 95 99
77 94 97
100 101 96
11 101 100
100 96 94
80 102 103
83 531 529
104 105 97
106 107 77
98 102 80
77 107 78
96 104 97
55 99 532
96 101 109
104 96 109
110 92 103
103 92 82
102 110 103
107 98 78
111 90 74
95 100 94
112 113 111
111 113 90
559 115 116
110 117 92
11 22 101
533 530 83
113 119 90
9 11 100
115 105 104
106 77 97
116 115 104
82 75 120
22 25 121
105 106 97
80 103 120
534 533 87
123 112 93
95 9 100
124 99 81
535 72 125
116 104 109
89 80 120
101 22 121
536 543 128
86 124 75
108 531 85
112 111 93
533 83 87
532 99 124
537 536 130
109 101 121
532 124 86
124 81 89
538 534 539
119 540 132
117 133 134
133 123 134
75 124 89
81 99 79
135 541 542
95 94 79
25 54 137
61 55 138
99 95 79
130 536 128
55 108 138
121 25 137
93 111 76
86 75 88
130 121 137
85 535 125
127 135 542
54 537 137
559 116 136
138 85 125
121 130 139
109 121 139
123 93 134
534 87 539
75 89 120
90 119 132
92 117 134
103 82 120
116 128 136
111 74 76
108 85 138
116 109 139
93 92 134
528 90 132
72 61 125
128 116 139
128 543 136
537 130 137
130 128 139
61 138 125
140 141 142
143 140 142
144 142 145
144 143 142
146 147 148
147 146 149
150 151 152
153 146 148
154 151 150
155 156 157
158 159 160
153 148 161
156 162 157
159 157 163
160 159 164
159 163 164
165 150 152
157 162 163
156 155 166
167 168 169
141 170 171
171 172 173
170 174 171
174 172 171
155 175 166
176 172 174
177 155 157
178 174 170
179 170 180
163 162 147
180 170 141
178 179 166
181 155 177
179 156 166
142 173 145
182 183 154
184 185 145
172 167 169
178 170 179
178 186 174
179 180 187
141 171 142
185 144 145
176 167 172
173 172 169
188 186 178
159 177 157
158 177 159
181 175 155
182 189 183
186 176 174
158 190 177
578 182 154
190 181 177
192 193 165
154 183 151
163 151 164
194 190 158
188 178 166
175 188 166
45 33 144
179 187 156
156 187 162
48 51 146
32 48 153
28 32 195
27 28 140
33 27 143
33 143 144
126 129 184
48 146 153
189 196 160
195 32 153
195 153 161
28 195 140
193 197 150
143 27 140
195 161 198
127 126 199
51 192 149
183 189 160
126 184 199
165 193 150
146 51 149
169 168 200
147 162 148
54 45 185
201 578 202
197 201 202
129 54 185
196 203 204
203 194 204
168 135 200
165 147 149
171 173 142
162 187 148
183 160 164
199 169 200
45 144 185
192 165 149
148 187 161
135 127 200
141 140 198
184 129 185
147 165 152
140 195 198
187 180 161
161 180 198
163 147 152
160 196 204
199 184 205
173 169 205
150 197 202
578 154 202
151 163 152
180 141 198
194 158 204
151 183 164
158 160 204
154 150 202
184 145 205
127 199 200
169 199 205
145 173 205
206 207 57
208 209 210
211 212 213
214 215 216
217 212 211
218 212 217
219 220 221
213 222 211
223 224 218
218 224 212
225 226 227
216 215 228
57 207 35
226 229 227
210 209 230
211 215 214
219 231 220
230 209 232
233 222 234
234 222 213
235 224 223
236 210 230
237 238 239
209 240 232
230 241 236
242 243 244
221 245 219
224 209 208
225 227 246
233 247 222
244 248 242
237 239 249
250 251 245
250 245 252
249 239 253
225 246 254
255 256 249
237 257 258
259 246 260
256 257 237
239 238 261
222 215 211
259 260 262
243 229 244
263 264 265
233 266 247
256 237 249
254 246 259
255 249 267
244 229 268
269 239 261
232 240 264
216 228 270
217 211 214
262 255 267
228 250 270
246 227 271
269 261 263
238 230 232
255 272 256
260 246 271
118 221 84
253 239 269
267 249 253
238 232 261
262 260 255
261 264 263
273 274 234
270 250 275
276 235 223
277 225 254
24 244 13
264 240 278
192 279 193
274 233 234
266 219 280
271 242 272
279 229 226
84 220 91
273 281 274
247 215 222
266 280 247
232 264 261
260 271 272
67 282 65
73 283 57
283 273 284
64 281 73
255 260 272
282 285 286
238 241 230
122 252 118
273 234 287
288 278 276
68 289 67
213 208 287
290 206 57
212 224 208
13 268 23
234 213 287
273 287 284
213 212 208
73 281 283
193 226 197
284 236 290
283 290 57
70 291 68
283 284 290
283 281 273
67 289 282
118 252 221
221 220 84
287 210 284
284 210 236
282 286 65
281 286 274
208 210 287
64 286 281
65 286 64
286 285 274
276 278 235
272 292 256
266 293 219
219 245 280
291 289 68
244 268 13
279 226 193
290 258 206
294 295 288
265 295 294
233 285 266
215 296 228
236 258 290
201 297 277
197 297 201
131 298 122
275 298 131
274 285 233
23 299 51
51 299 192
91 300 72
271 243 242
220 231 291
237 241 238
220 300 91
291 300 220
293 231 219
72 300 70
247 296 215
235 209 224
242 292 272
289 293 282
35 248 24
292 207 206
282 293 285
285 293 266
264 295 265
258 241 237
268 299 23
292 257 256
122 298 252
24 248 244
288 295 278
250 298 275
226 297 197
277 297 225
289 231 293
228 251 250
236 241 258
227 243 271
192 299 279
252 298 250
252 245 221
279 299 268
278 295 264
291 231 289
227 229 243
225 297 226
280 296 247
70 300 291
235 240 209
268 229 279
258 257 206
207 248 35
278 240 235
242 207 292
206 257 292
245 251 280
242 248 207
251 296 280
228 296 251
301 302 544
304 305 306
307 308 309
305 304 310
311 312 313
548 315 557
308 307 317
544 302 545
311 313 319
557 315 546
321 547 303
312 311 322
315 548 545
305 323 306
324 325 326
327 328 310
328 327 317
329 330 319
331 332 320
324 326 333
315 549 546
335 311 319
307 309 322
304 327 310
331 320 336
319 330 337
549 338 339
340 341 342
343 344 550
305 551 345
346 552 348
347 349 553
350 351 352
340 342 352
338 342 339
342 341 339
323 305 345
342 350 352
353 354 325
355 356 335
98 357 358
106 344 359
115 554 550
186 308 327
175 312 309
190 329 313
360 361 362
555 364 365
366 367 564
556 548 557
370 371 372
373 353 374
349 357 359
558 547 321
356 376 377
378 551 305
349 359 553
376 379 377
380 356 355
